cell_id,cell_type,institution
150,ER2,UCSF
151,ER2,UCSF
152,ER2,UCSF
153,ER2,UCSF
154,ER2,UCSF
155,ER2,UCSF
156,ER2,UCSF
157,ER2,UCSF
158,ER2,UCSF
159,ER2,UCSF
160,ER2,UCSF
161,ER2,UCSF
162,ER2,UCSF
163,ER2,UCSF
164,ER2,UCSF
165,ER2,UCSF
166,ER2,UCSF
167,ER2,UCSF
168,ER2,UCSF
169,ER2,UCSF
170,ER2,UCSF
171,ER2,UCSF
172,ER2,UCSF
173,ER2,UCSF
174,ER2,UCSF
175,ER2,UCSF
176,ER2,UCSF
177,ER2,UCSF
178,ER2,UCSF
179,ER2,UCSF
180,ER2,UCSF
181,ER2,UCSF
182,ER2,UCSF
183,ER2,UCSF
184,ER2,UCSF
185,ER2,UCSF
186,ER2,UCSF
187,ER2,UCSF
188,ER2,UCSF
189,ER2,UCSF
190,ER2,UCSF
191,ER2,UCSF
192,ER2,UCSF
193,ER2,UCSF
194,ER2,UCSF
195,ER2,UCSF
196,ER2,UCSF
197,ER2,UCSF
198,ER2,UCSF
199,ER2,UCSF
200,ER2,UCSF
201,ER2,UCSF
202,ER2,UCSF
203,ER2,UCSF
204,ER2,UCSF
205,ER2,UCSF
206,ER2,UCSF
207,ER2,UCSF
208,ER2,UCSF
209,ER2,UCSF
210,ER2,UCSF
211,ER2,UCSF
212,ER2,UCSF
213,ER2,UCSF
214,ER2,UCSF
215,ER2,UCSF
216,ER2,UCSF
217,ER2,UCSF
218,ER2,UCSF
219,ER2,UCSF
220,ER2,UCSF
221,ER2,UCSF
222,ER2,UCSF
223,ER2,UCSF
224,ER2,UCSF
225,ER2,UCSF
226,ER2,UCSF
227,ER2,UCSF
228,ER2,UCSF
229,ER2,UCSF
230,ER2,UCSF
231,ER2,UCSF
232,ER2,UCSF
233,ER2,UCSF
234,ER2,UCSF
235,ER2,UCSF
236,ER2,UCSF
237,ER2,UCSF
238,ER2,UCSF
239,ER2,UCSF
240,ER2,UCSF
241,ER2,UCSF
242,ER2,UCSF
243,ER2,UCSF
244,ER2,UCSF
245,ER2,UCSF
246,ER2,UCSF
247,ER2,UCSF
248,ER2,UCSF
249,ER2,UCSF
250,ER2,UCSF
251,ER2,UCSF
252,ER2,UCSF
253,ER2,UCSF
254,ER2,UCSF
255,ER2,UCSF
256,ER2,UCSF
257,ER2,UCSF
258,ER2,UCSF
259,ER2,UCSF
260,ER2,UCSF
261,ER2,UCSF
262,ER2,UCSF
263,ER2,UCSF
264,ER2,UCSF
265,ER2,UCSF
266,ER2,UCSF
267,ER2,UCSF
268,ER2,UCSF
269,ER2,UCSF
270,ER2,UCSF
271,ER2,UCSF
272,ER2,UCSF
273,ER2,UCSF
274,ER2,UCSF
275,ER2,UCSF
276,ER2,UCSF
277,ER2,UCSF
278,ER2,UCSF
279,ER2,UCSF
280,ER2,UCSF
281,ER2,UCSF
282,ER2,UCSF
283,ER2,UCSF
284,ER2,UCSF
285,ER2,UCSF
286,ER2,UCSF
287,ER2,UCSF
288,ER2,UCSF
289,ER2,UCSF
290,ER2,UCSF
291,ER2,UCSF
292,ER2,UCSF
293,ER2,UCSF
294,ER2,UCSF
295,ER2,UCSF
296,ER2,UCSF
297,ER2,UCSF
298,ER2,UCSF
299,ER2,UCSF
300,ER2,UCSF
301,ER2,UCSF
302,ER2,UCSF
303,ER2,UCSF
304,ER2,UCSF
305,ER2,UCSF
306,ER2,UCSF
307,ER2,UCSF
308,ER2,UCSF
309,ER2,UCSF
310,ER2,UCSF
311,ER2,UCSF
312,ER2,UCSF
313,ER2,UCSF
314,ER2,UCSF
315,ER2,UCSF
316,ER2,UCSF
317,ER2,UCSF
318,ER2,UCSF
319,ER2,UCSF
320,ER2,UCSF
321,ER2,UCSF
322,ER2,UCSF
323,ER2,UCSF
324,ER2,UCSF
325,ER2,UCSF
326,ER2,UCSF
327,ER2,UCSF
328,ER2,UCSF
329,ER2,UCSF
330,ER2,UCSF
331,ER2,UCSF
332,ER2,UCSF
333,ER2,UCSF
334,ER2,UCSF
335,ER2,UCSF
336,ER2,UCSF
337,ER2,UCSF
338,ER2,UCSF
339,ER2,UCSF
340,ER2,UCSF
341,ER2,UCSF
342,ER2,UCSF
343,ER2,UCSF
344,ER2,UCSF
345,ER2,UCSF
346,ER2,UCSF
347,ER2,UCSF
348,ER2,UCSF
349,ER2,UCSF
350,ER2,UCSF
351,ER2,UCSF
352,ER2,UCSF
353,ER2,UCSF
354,ER2,UCSF
355,ER2,UCSF
356,ER2,UCSF
357,ER2,UCSF
358,ER2,UCSF
359,ER2,UCSF
360,ER2,UCSF
361,ER2,UCSF
362,ER2,UCSF
363,ER2,UCSF
364,ER2,UCSF
365,ER2,UCSF
366,ER2,UCSF
367,ER2,UCSF
368,ER2,UCSF
369,ER2,UCSF
370,ER2,UCSF
371,ER2,UCSF
372,ER2,UCSF
373,ER2,UCSF
374,ER2,UCSF
375,ER2,UCSF
376,ER2,UCSF
377,ER2,UCSF
378,ER2,UCSF
379,ER2,UCSF
380,ER2,UCSF
381,ER2,UCSF
382,ER2,UCSF
383,ER2,UCSF
384,ER2,UCSF
385,ER2,UCSF
386,ER2,UCSF
387,ER2,UCSF
388,ER2,UCSF
389,ER2,UCSF
390,ER2,UCSF
391,ER2,UCSF
392,ER2,UCSF
393,ER2,UCSF
394,ER2,UCSF
395,ER2,UCSF
396,ER2,UCSF
397,ER2,UCSF
398,ER2,UCSF
399,ER2,UCSF
400,ER2,UCSF
401,ER2,UCSF
402,ER2,UCSF
403,ER2,UCSF
404,ER2,UCSF
405,ER2,UCSF
406,ER2,UCSF
407,ER2,UCSF
408,ER2,UCSF
409,ER2,UCSF
410,ER2,UCSF
411,ER2,UCSF
412,ER2,UCSF
413,ER2,UCSF
414,ER2,UCSF
415,ER2,UCSF
416,ER2,UCSF
417,ER2,UCSF
418,ER2,UCSF
419,ER2,UCSF
420,ER2,UCSF
421,ER2,UCSF
422,ER2,UCSF
423,ER2,UCSF
424,ER2,UCSF
425,ER2,UCSF
426,ER2,UCSF
427,ER2,UCSF
428,ER2,UCSF
429,ER2,UCSF
430,ER2,UCSF
431,ER2,UCSF
432,ER2,UCSF
433,ER2,UCSF
434,ER2,UCSF
435,ER2,UCSF
436,ER2,UCSF
437,ER2,UCSF
438,ER2,UCSF
439,ER2,UCSF
440,ER2,UCSF
441,ER2,UCSF
442,ER2,UCSF
443,ER2,UCSF
444,ER2,UCSF
445,ER2,UCSF
446,ER2,UCSF
447,ER2,UCSF
448,ER2,UCSF
449,ER2,UCSF
450,ER2,UCSF
451,ER2,UCSF
452,ER2,UCSF
453,ER2,UCSF
454,ER2,UCSF
455,ER2,UCSF
456,ER2,UCSF
457,ER2,UCSF
458,ER2,UCSF
459,ER2,UCSF
460,ER2,UCSF
461,ER2,UCSF
462,ER2,UCSF
463,ER2,UCSF
464,ER2,UCSF
465,ER2,UCSF
466,ER2,UCSF
467,ER2,UCSF
468,ER2,UCSF
469,ER2,UCSF
470,ER2,UCSF
471,ER2,UCSF
472,ER2,UCSF
473,ER2,UCSF
474,ER2,UCSF
475,ER2,UCSF
476,ER2,UCSF
477,ER2,UCSF
478,ER2,UCSF
479,ER2,UCSF
480,ER2,UCSF
481,ER2,UCSF
482,ER2,UCSF
483,ER2,UCSF
484,ER2,UCSF
485,ER2,UCSF
486,ER2,UCSF
487,ER2,UCSF
488,ER2,UCSF
489,ER2,UCSF
490,ER2,UCSF
491,ER2,UCSF
492,ER2,UCSF
493,ER2,UCSF
494,ER2,UCSF
495,ER2,UCSF
496,ER2,UCSF
497,ER2,UCSF
498,ER2,UCSF
499,ER2,UCSF
500,ER2,UCSF
501,ER2,UCSF
502,ER2,UCSF
503,ER2,UCSF
504,ER2,UCSF
505,ER2,UCSF
506,ER2,UCSF
507,ER2,UCSF
508,ER2,UCSF
509,ER2,UCSF
510,ER2,UCSF
511,ER2,UCSF
512,ER2,UCSF
513,ER2,UCSF
514,ER2,UCSF
515,ER2,UCSF
516,ER2,UCSF
517,ER2,UCSF
518,ER2,UCSF
519,ER2,UCSF
520,ER2,UCSF
521,ER2,UCSF
522,ER2,UCSF
523,ER2,UCSF
524,ER2,UCSF
525,ER2,UCSF
526,ER2,UCSF
527,ER2,UCSF
528,ER2,UCSF
529,ER2,UCSF
530,ER2,UCSF
531,ER2,UCSF
532,ER2,UCSF
533,ER2,UCSF
534,ER2,UCSF
535,ER2,UCSF
536,ER2,UCSF
537,ER2,UCSF
538,ER2,UCSF
539,ER2,UCSF
540,ER2,UCSF
541,ER2,UCSF
542,ER2,UCSF
543,ER2,UCSF
544,ER2,UCSF
545,ER2,UCSF
546,ER2,UCSF
547,ER2,UCSF
548,ER2,UCSF
549,ER2,UCSF
550,ER2,UCSF
551,ER2,UCSF
552,ER2,UCSF
553,ER2,UCSF
554,ER2,UCSF
555,ER2,UCSF
556,ER2,UCSF
557,ER2,UCSF
558,ER2,UCSF
559,ER2,UCSF
560,ER2,UCSF
561,ER2,UCSF
562,ER2,UCSF
563,ER2,UCSF
564,ER2,UCSF
565,ER2,UCSF
566,ER2,UCSF
567,ER2,UCSF
568,ER2,UCSF
569,ER2,UCSF
570,ER2,UCSF
571,ER2,UCSF
572,ER2,UCSF
573,ER2,UCSF
574,ER2,UCSF
575,ER2,UCSF
576,ER2,UCSF
577,ER2,UCSF
578,ER2,UCSF
579,ER2,UCSF
580,ER2,UCSF
581,ER2,UCSF
582,ER2,UCSF
583,ER2,UCSF
584,ER2,UCSF
585,ER2,UCSF
586,ER2,UCSF
587,ER2,UCSF
588,ER2,UCSF
589,ER2,UCSF
590,ER2,UCSF
591,ER2,UCSF
592,ER2,UCSF
593,ER2,UCSF
594,ER2,UCSF
595,ER2,UCSF
596,ER2,UCSF
597,ER2,UCSF
598,ER2,UCSF
599,ER2,UCSF
600,ER2,UCSF
601,ER2,UCSF
602,ER2,UCSF
603,ER2,UCSF
604,ER2,UCSF
605,ER2,UCSF
606,ER2,UCSF
607,ER2,UCSF
608,ER2,UCSF
609,ER2,UCSF
610,ER2,UCSF
611,ER2,UCSF
612,ER2,UCSF
613,ER2,UCSF
614,ER2,UCSF
615,ER2,UCSF
616,ER2,UCSF
617,ER2,UCSF
618,ER2,UCSF
619,ER2,UCSF
620,ER2,UCSF
621,ER2,UCSF
622,ER2,UCSF
623,ER2,UCSF
624,ER2,UCSF
625,ER2,UCSF
626,ER2,UCSF
627,ER2,UCSF
628,ER2,UCSF
629,ER2,UCSF
630,ER2,UCSF
631,ER2,UCSF
632,ER2,UCSF
633,ER2,UCSF
634,ER2,UCSF
635,ER2,UCSF
636,ER2,UCSF
637,ER2,UCSF
638,ER2,UCSF
639,ER2,UCSF
640,ER2,UCSF
641,ER2,UCSF
642,ER2,UCSF
643,ER2,UCSF
644,ER2,UCSF
645,ER2,UCSF
646,ER2,UCSF
647,ER2,UCSF
648,ER2,UCSF
649,ER2,UCSF
650,ER2,UCSF
651,ER2,UCSF
652,ER2,UCSF
653,ER2,UCSF
654,ER2,UCSF
655,ER2,UCSF
656,ER2,UCSF
657,ER2,UCSF
658,ER2,UCSF
659,ER2,UCSF
660,ER2,UCSF
661,ER2,UCSF
662,ER2,UCSF
663,ER2,UCSF
664,ER2,UCSF
665,ER2,UCSF
666,ER2,UCSF
667,ER2,UCSF
668,ER2,UCSF
669,ER2,UCSF
670,ER2,UCSF
671,ER2,UCSF
672,ER2,UCSF
673,ER2,UCSF
674,ER2,UCSF
675,ER2,UCSF
676,ER2,UCSF
677,ER2,UCSF
678,ER2,UCSF
679,ER2,UCSF
680,ER2,UCSF
681,ER2,UCSF
682,ER2,UCSF
683,ER2,UCSF
684,ER2,UCSF
685,ER2,UCSF
686,ER2,UCSF
687,ER2,UCSF
688,ER2,UCSF
689,ER2,UCSF
690,ER2,UCSF
691,ER2,UCSF
692,ER2,UCSF
693,ER2,UCSF
694,ER2,UCSF
695,ER2,UCSF
696,ER2,UCSF
697,ER2,UCSF
698,ER2,UCSF
699,ER2,UCSF
700,ER2,UCSF
701,ER2,UCSF
702,ER2,UCSF
703,ER2,UCSF
704,ER2,UCSF
705,ER2,UCSF
706,ER2,UCSF
707,ER2,UCSF
708,ER2,UCSF
709,ER2,UCSF
710,ER2,UCSF
711,ER2,UCSF
712,ER2,UCSF
713,ER2,UCSF
714,ER2,UCSF
715,ER2,UCSF
716,ER2,UCSF
717,ER2,UCSF
718,ER2,UCSF
719,ER2,UCSF
720,ER2,UCSF
721,ER2,UCSF
722,ER2,UCSF
723,ER2,UCSF
724,ER2,UCSF
725,ER2,UCSF
726,ER2,UCSF
727,ER2,UCSF
728,ER2,UCSF
729,ER2,UCSF
730,ER2,UCSF
731,ER2,UCSF
732,ER2,UCSF
733,ER2,UCSF
734,ER2,UCSF
735,ER2,UCSF
736,ER2,UCSF
737,ER2,UCSF
738,ER2,UCSF
739,ER2,UCSF
740,ER2,UCSF
741,ER2,UCSF
742,ER2,UCSF
743,ER2,UCSF
744,ER2,UCSF
745,ER2,UCSF
746,ER2,UCSF
747,ER2,UCSF
748,ER2,UCSF
749,ER2,UCSF
750,ER2,UCSF
751,ER2,UCSF
752,ER2,UCSF
753,ER2,UCSF
754,ER2,UCSF
755,ER2,UCSF
756,ER2,UCSF
757,ER2,UCSF
758,ER2,UCSF
759,ER2,UCSF
760,ER2,UCSF
761,ER2,UCSF
762,ER2,UCSF
763,ER2,UCSF
764,ER2,UCSF
765,ER2,UCSF
766,ER2,UCSF
767,ER2,UCSF
768,ER2,UCSF
769,ER2,UCSF
770,ER2,UCSF
771,ER2,UCSF
772,ER2,UCSF
773,ER2,UCSF
774,ER2,UCSF
775,ER2,UCSF
776,ER2,UCSF
777,ER2,UCSF
778,ER2,UCSF
779,ER2,UCSF
780,ER2,UCSF
781,ER2,UCSF
782,ER2,UCSF
783,ER2,UCSF
784,ER2,UCSF
785,ER2,UCSF
786,ER2,UCSF
787,ER2,UCSF
788,ER2,UCSF
789,ER2,UCSF
790,ER2,UCSF
791,ER2,UCSF
792,ER2,UCSF
793,ER2,UCSF
794,ER2,UCSF
795,ER2,UCSF
796,ER2,UCSF
797,ER2,UCSF
798,ER2,UCSF
799,ER2,UCSF
800,ER2,UCSF
801,ER2,UCSF
802,ER2,UCSF
803,ER2,UCSF
804,ER2,UCSF
805,ER2,UCSF
806,ER2,UCSF
807,ER2,UCSF
808,ER2,UCSF
809,ER2,UCSF
810,ER2,UCSF
811,ER2,UCSF
812,ER2,UCSF
813,ER2,UCSF
814,ER2,UCSF
815,ER2,UCSF
816,ER2,UCSF
817,ER2,UCSF
818,ER2,UCSF
819,ER2,UCSF
820,ER2,UCSF
821,ER2,UCSF
822,ER2,UCSF
823,ER2,UCSF
824,ER2,UCSF
825,ER2,UCSF
826,ER2,UCSF
827,ER2,UCSF
828,ER2,UCSF
829,ER2,UCSF
830,ER2,UCSF
831,ER2,UCSF
832,ER2,UCSF
833,ER2,UCSF
834,ER2,UCSF
835,ER2,UCSF
836,ER2,UCSF
837,ER2,UCSF
838,ER2,UCSF
839,ER2,UCSF
840,ER2,UCSF
841,ER2,UCSF
842,ER2,UCSF
843,ER2,UCSF
844,ER2,UCSF
845,ER2,UCSF
846,ER2,UCSF
847,ER2,UCSF
848,ER2,UCSF
849,ER2,UCSF
850,ER2,UCSF
851,ER2,UCSF
852,ER2,UCSF
853,ER2,UCSF
854,ER2,UCSF
855,ER2,UCSF
856,ER2,UCSF
857,ER2,UCSF
858,ER2,UCSF
859,ER2,UCSF
860,ER2,UCSF
861,ER2,UCSF
862,ER2,UCSF
863,ER2,UCSF
864,ER2,UCSF
865,ER2,UCSF
866,ER2,UCSF
867,ER2,UCSF
868,ER2,UCSF
869,ER2,UCSF
870,ER2,UCSF
871,ER2,UCSF
872,ER2,UCSF
873,ER2,UCSF
874,ER2,UCSF
875,ER2,UCSF
876,ER2,UCSF
877,ER2,UCSF
878,ER2,UCSF
879,ER2,UCSF
880,ER2,UCSF
881,ER2,UCSF
882,ER2,UCSF
883,ER2,UCSF
884,ER2,UCSF
885,ER2,UCSF
886,ER2,UCSF
887,ER2,UCSF
888,ER2,UCSF
889,ER2,UCSF
890,ER2,UCSF
891,ER2,UCSF
892,ER2,UCSF
893,ER2,UCSF
894,ER2,UCSF
895,ER2,UCSF
896,ER2,UCSF
897,ER2,UCSF
898,ER2,UCSF
899,ER2,UCSF
900,ER2,UCSF
901,ER2,UCSF
902,ER2,UCSF
903,ER2,UCSF
904,ER2,UCSF
905,ER2,UCSF
906,ER2,UCSF
907,ER2,UCSF
908,ER2,UCSF
909,ER2,UCSF
910,ER2,UCSF
911,ER2,UCSF
912,ER2,UCSF
913,ER2,UCSF
914,ER2,UCSF
915,ER2,UCSF
916,ER2,UCSF
917,ER2,UCSF
918,ER2,UCSF
919,ER2,UCSF
920,ER2,UCSF
921,ER2,UCSF
922,ER2,UCSF
923,ER2,UCSF
924,ER2,UCSF
925,ER2,UCSF
926,ER2,UCSF
927,ER2,UCSF
928,ER2,UCSF
929,ER2,UCSF
930,ER2,UCSF
931,ER2,UCSF
932,ER2,UCSF
933,ER2,UCSF
934,ER2,UCSF
935,ER2,UCSF
936,ER2,UCSF
937,ER2,UCSF
938,ER2,UCSF
939,ER2,UCSF
940,ER2,UCSF
941,ER2,UCSF
942,ER2,UCSF
943,ER2,UCSF
944,ER2,UCSF
945,ER2,UCSF
946,ER2,UCSF
947,ER2,UCSF
948,ER2,UCSF
949,ER2,UCSF
950,ER2,UCSF
951,ER2,UCSF
952,ER2,UCSF
953,ER2,UCSF
954,ER2,UCSF
955,ER2,UCSF
956,ER2,UCSF
957,ER2,UCSF
958,ER2,UCSF
959,ER2,UCSF
960,ER2,UCSF
961,ER2,UCSF
962,ER2,UCSF
963,ER2,UCSF
964,ER2,UCSF
965,ER2,UCSF
966,ER2,UCSF
967,ER2,UCSF
968,ER2,UCSF
969,ER2,UCSF
970,ER2,UCSF
971,ER2,UCSF
972,ER2,UCSF
973,ER2,UCSF
974,ER2,UCSF
975,ER2,UCSF
976,ER2,UCSF
977,ER2,UCSF
978,ER2,UCSF
979,ER2,UCSF
980,ER2,UCSF
981,ER2,UCSF
982,ER2,UCSF
983,ER2,UCSF
984,ER2,UCSF
985,ER2,UCSF
986,ER2,UCSF
987,ER2,UCSF
988,ER2,UCSF
989,ER2,UCSF
990,ER2,UCSF
991,ER2,UCSF
992,ER2,UCSF
993,ER2,UCSF
994,ER2,UCSF
995,ER2,UCSF
996,ER2,UCSF
997,ER2,UCSF
998,ER2,UCSF
999,ER2,UCSF
1000,ER2,UCSF
1001,ER2,UCSF
1002,ER2,UCSF
1003,ER2,UCSF
1004,ER2,UCSF
1005,ER2,UCSF
1006,ER2,UCSF
1007,ER2,UCSF
1008,ER2,UCSF
1009,ER2,UCSF
1010,ER2,UCSF
1011,ER2,UCSF
1012,ER2,UCSF
1013,ER2,UCSF
1014,ER2,UCSF
1015,ER2,UCSF
1016,ER2,UCSF
1017,ER2,UCSF
1018,ER2,UCSF
1019,ER2,UCSF
1020,ER2,UCSF
1021,ER2,UCSF
1022,ER2,UCSF
1023,ER2,UCSF
1024,ER2,UCSF
1025,ER2,UCSF
1026,ER2,UCSF
1027,ER2,UCSF
1028,ER2,UCSF
1029,ER2,UCSF
1030,ER2,UCSF
1031,ER2,UCSF
1032,ER2,UCSF
1033,ER2,UCSF
1034,ER2,UCSF
1035,ER2,UCSF
1036,ER2,UCSF
1037,ER2,UCSF
1038,ER2,UCSF
1039,ER2,UCSF
1040,ER2,UCSF
1041,ER2,UCSF
1042,ER2,UCSF
1043,ER2,UCSF
1044,ER2,UCSF
1045,ER2,UCSF
1046,ER2,UCSF
1047,ER2,UCSF
1048,ER2,UCSF
1049,ER2,UCSF
1050,ER2,UCSF
1051,ER2,UCSF
1052,ER2,UCSF
1053,ER2,UCSF
1054,ER2,UCSF
1055,ER2,UCSF
1056,ER2,UCSF
1057,ER2,UCSF
1058,ER2,UCSF
1059,ER2,UCSF
1060,ER2,UCSF
1061,ER2,UCSF
1062,ER2,UCSF
1063,ER2,UCSF
1064,ER2,UCSF
1065,ER2,UCSF
1066,ER2,UCSF
1067,ER2,UCSF
1068,ER2,UCSF
1069,ER2,UCSF
1070,ER2,UCSF
1071,ER2,UCSF
1072,ER2,UCSF
1073,ER2,UCSF
1074,ER2,UCSF
1075,ER2,UCSF
1076,ER2,UCSF
1077,ER2,UCSF
1078,ER2,UCSF
1079,ER2,UCSF
1080,ER2,UCSF
1081,ER2,UCSF
1082,ER2,UCSF
1083,ER2,UCSF
1084,ER2,UCSF
1085,ER2,UCSF
1086,ER2,UCSF
1087,ER2,UCSF
1088,ER2,UCSF
1089,ER2,UCSF
1090,ER2,UCSF
1091,ER2,UCSF
1092,ER2,UCSF
1093,ER2,UCSF
1094,ER2,UCSF
1095,ER2,UCSF
1096,ER2,UCSF
1097,ER2,UCSF
1098,ER2,UCSF
1099,ER2,UCSF
1100,ER2,UCSF
1101,ER2,UCSF
1102,ER2,UCSF
1103,ER2,UCSF
1104,ER2,UCSF
1105,ER2,UCSF
1106,ER2,UCSF
1107,ER2,UCSF
1108,ER2,UCSF
1109,ER2,UCSF
1110,ER2,UCSF
1111,ER2,UCSF
1112,ER2,UCSF
1113,ER2,UCSF
1114,ER2,UCSF
1115,ER2,UCSF
1116,ER2,UCSF
1117,ER2,UCSF
1118,ER2,UCSF
1119,ER2,UCSF
1120,ER2,UCSF
1121,ER2,UCSF
1122,ER2,UCSF
1123,ER2,UCSF
1124,ER2,UCSF
1125,ER2,UCSF
1126,ER2,UCSF
1127,ER2,UCSF
1128,ER2,UCSF
1129,ER2,UCSF
1130,ER2,UCSF
1131,ER2,UCSF
1132,ER2,UCSF
1133,ER2,UCSF
1134,ER2,UCSF
1135,ER2,UCSF
1136,ER2,UCSF
1137,ER2,UCSF
1138,ER2,UCSF
1139,ER2,UCSF
1140,ER2,UCSF
1141,ER2,UCSF
1142,ER2,UCSF
1143,ER2,UCSF
1144,ER2,UCSF
1145,ER2,UCSF
1146,ER2,UCSF
1147,ER2,UCSF
1148,ER2,UCSF
1149,ER2,UCSF
1150,ER2,UCSF
1151,ER2,UCSF
1152,ER2,UCSF
1153,ER2,UCSF
1154,ER2,UCSF
1155,ER2,UCSF
1156,ER2,UCSF
1157,ER2,UCSF
1158,ER2,UCSF
1159,ER2,UCSF
1160,ER2,UCSF
1161,ER2,UCSF
1162,ER2,UCSF
1163,ER2,UCSF
1164,ER2,UCSF
1165,ER2,UCSF
1166,ER2,UCSF
1167,ER2,UCSF
1168,ER2,UCSF
1169,ER2,UCSF
1170,ER2,UCSF
1171,ER2,UCSF
1172,ER2,UCSF
1173,ER2,UCSF
1174,ER2,UCSF
1175,ER2,UCSF
1176,ER2,UCSF
1177,ER2,UCSF
1178,ER2,UCSF
1179,ER2,UCSF
1180,ER2,UCSF
1181,ER2,UCSF
1182,ER2,UCSF
1183,ER2,UCSF
1184,ER2,UCSF
1185,ER2,UCSF
1186,ER2,UCSF
1187,ER2,UCSF
1188,ER2,UCSF
1189,ER2,UCSF
1190,ER2,UCSF
1191,ER2,UCSF
1192,ER2,UCSF
1193,ER2,UCSF
1194,ER2,UCSF
1195,ER2,UCSF
1196,ER2,UCSF
1197,ER2,UCSF
1198,ER2,UCSF
1199,ER2,UCSF
1200,ER2,UCSF
1201,ER2,UCSF
1202,ER2,UCSF
1203,ER2,UCSF
1204,ER2,UCSF
1205,ER2,UCSF
1206,ER2,UCSF
1207,ER2,UCSF
1208,ER2,UCSF
1209,ER2,UCSF
1210,ER2,UCSF
1211,ER2,UCSF
1212,ER2,UCSF
1213,ER2,UCSF
1214,ER2,UCSF
1215,ER2,UCSF
1216,ER2,UCSF
1217,ER2,UCSF
1218,ER2,UCSF
1219,ER2,UCSF
1220,ER2,UCSF
1221,ER2,UCSF
1222,ER2,UCSF
1223,ER2,UCSF
1224,ER2,UCSF
1225,ER2,UCSF
1226,ER2,UCSF
1227,ER2,UCSF
1228,ER2,UCSF
1229,ER2,UCSF
1230,ER2,UCSF
1231,ER2,UCSF
1232,ER2,UCSF
1233,ER2,UCSF
1234,ER2,UCSF
1235,ER2,UCSF
1236,ER2,UCSF
1237,ER2,UCSF
1238,ER2,UCSF
1239,ER2,UCSF
1240,ER2,UCSF
1241,ER2,UCSF
1242,ER2,UCSF
1243,ER2,UCSF
1244,ER2,UCSF
1245,ER2,UCSF
1246,ER2,UCSF
