Pseudo_Label,Error_Message
Error 22,Relative blue signal is too weak. min_num_regions_within_foci_sd 500 is not reached. Only 463 regions found at num_sds=1. Check slide for potential poor staining/imaging.)
Error 23,"Ray component metrics_export is trying to use a port number 52365 that is used by other components.
Port information: {'gcs': 'random', 'object_manager': 'random', 'node_manager': 'random', 'gcs_server': 57995, 'client_server': 'random', 'dashboard': 'random', 'dashboard_agent_grpc': 41892, 'dashboard_agent_http': 52365, 'dashboard_grpc': 'random', 'runtime_env_agent': 62216, 'metrics_export': 52365, 'redis_shards': 'random', 'worker_ports': 'random'}
If you allocate ports, please make sure the same port is not used by multiple components."
Error 24,"Task was killed due to the node running low on memory.
Memory on the node (IP: 172.28.164.114, ID: 00edf4253430c87bc4a929f27a3c40aec06694385b7797d16a3f15bf) where the task (actor ID: addf7b39e117d216d9c95da101000000, name=WSICropManager.__init__, pid=2870164, memory used=2.56GB) was running was 239.06GB / 251.49GB (0.950546), which exceeds the memory usage threshold of 0.95. Ray killed this worker (ID: eb601b34db403450e8ccdefe62ddce2e360a74c13dab4eb47b6f6041) because it was the most recently scheduled task; to see more information about memory usage on this node, use `ray logs raylet.out -ip 172.28.164.114`. To see the logs of the worker, use `ray logs worker-eb601b34db403450e8ccdefe62ddce2e360a74c13dab4eb47b6f6041*out -ip 172.28.164.114. Top 10 memory users:
PID	MEM(GB)	COMMAND
1567642	90.34	python scripts/run_all_H_slides.py
2870159	2.95	ray::WSICropManager
2870150	2.77	ray::WSICropManager.async_get_focus_region_image_batch
2870155	2.76	ray::WSICropManager.async_get_focus_region_image_batch
2870162	2.75	ray::WSICropManager.async_get_focus_region_image_batch
2870163	2.73	ray::WSICropManager.async_get_focus_region_image_batch
2870166	2.73	ray::WSICropManager.async_get_focus_region_image_batch
2870168	2.68	ray::WSICropManager.async_get_focus_region_image_batch
2870167	2.67	ray::WSICropManager.async_get_focus_region_image_batch
2870140	2.65	ray::WSICropManager.async_get_focus_region_image_batch
Refer to the documentation on how to address the out of memory issue: https://docs.ray.io/en/latest/ray-core/scheduling/ray-oom-prevention.html. Consider provisioning more memory on this node or reducing task parallelism by requesting more CPUs per task. Set max_restarts and max_task_retries to enable retry when the task crashes due to OOM. To adjust the kill threshold, set the environment variable `RAY_memory_usage_threshold` when starting Ray. To disable worker killing, set the environment variable `RAY_memory_monitor_refresh_ms` to zero."
Error 25,Relative blue signal is too weak. min_num_regions_within_foci_sd 500 is not reached. Only 432 regions found at num_sds=1. Check slide for potential poor staining/imaging.)
Error 26,"Task was killed due to the node running low on memory.
Memory on the node (IP: 172.28.164.114, ID: c96061ed7060bb19ebfa558d4b34a764a34d3024e375667b62b9ebf1) where the task (actor ID: 3727224f098ac43b95820bec01000000, name=WSICropManager.__init__, pid=3834844, memory used=2.40GB) was running was 239.06GB / 251.49GB (0.950576), which exceeds the memory usage threshold of 0.95. Ray killed this worker (ID: 25ed46d11984de92b1696d97e9403783cc503c4e2d002dfd8733318b) because it was the most recently scheduled task; to see more information about memory usage on this node, use `ray logs raylet.out -ip 172.28.164.114`. To see the logs of the worker, use `ray logs worker-25ed46d11984de92b1696d97e9403783cc503c4e2d002dfd8733318b*out -ip 172.28.164.114. Top 10 memory users:
PID	MEM(GB)	COMMAND
1567642	98.17	python scripts/run_all_H_slides.py
2882936	3.08	/home/greg/.vscode-server/cli/servers/Stable-e170252f762678dec6ca2cc69aba1570769a5d39/server/node /h...
3834846	2.94	ray::WSICropManager.async_get_focus_region_image_batch
3834833	2.80	ray::WSICropManager.async_get_focus_region_image_batch
3834823	2.79	ray::WSICropManager.async_get_focus_region_image_batch
3834824	2.68	ray::WSICropManager.async_get_focus_region_image_batch
3834828	2.68	ray::WSICropManager.async_get_focus_region_image_batch
3834820	2.51	ray::WSICropManager.async_get_focus_region_image_batch
3834847	2.49	ray::WSICropManager.async_get_focus_region_image_batch
3834837	2.46	ray::WSICropManager.async_get_focus_region_image_batch
Refer to the documentation on how to address the out of memory issue: https://docs.ray.io/en/latest/ray-core/scheduling/ray-oom-prevention.html. Consider provisioning more memory on this node or reducing task parallelism by requesting more CPUs per task. Set max_restarts and max_task_retries to enable retry when the task crashes due to OOM. To adjust the kill threshold, set the environment variable `RAY_memory_usage_threshold` when starting Ray. To disable worker killing, set the environment variable `RAY_memory_monitor_refresh_ms` to zero."
Error 27,"SlideError: Can't validate JPEG for directory 0: Expected marker at 4295027632, found none"
Error 28,"Task was killed due to the node running low on memory.
Memory on the node (IP: 172.28.164.114, ID: 7dbee5c943736cec8da11ec68ba07c15981cb298824e20d9b79837ba) where the task (actor ID: 9f091c172113724364e5fa2701000000, name=WSICropManager.__init__, pid=192131, memory used=2.32GB) was running was 240.53GB / 251.49GB (0.95642), which exceeds the memory usage threshold of 0.95. Ray killed this worker (ID: 13f9549af56a6e5b420c54f6dc4cee035508cc820d41b30d08fc586b) because it was the most recently scheduled task; to see more information about memory usage on this node, use `ray logs raylet.out -ip 172.28.164.114`. To see the logs of the worker, use `ray logs worker-13f9549af56a6e5b420c54f6dc4cee035508cc820d41b30d08fc586b*out -ip 172.28.164.114. Top 10 memory users:
PID	MEM(GB)	COMMAND
1567642	101.79	python scripts/run_all_H_slides.py
192127	2.81	ray::WSICropManager
192113	2.72	ray::WSICropManager
192116	2.61	ray::WSICropManager
192115	2.54	ray::WSICropManager
192109	2.51	ray::WSICropManager
192119	2.48	ray::WSICropManager.async_get_focus_region_image_batch
192128	2.42	ray::WSICropManager.async_get_focus_region_image_batch
192112	2.39	ray::WSICropManager.async_get_focus_region_image_batch
192104	2.39	ray::WSICropManager.async_get_focus_region_image_batch
Refer to the documentation on how to address the out of memory issue: https://docs.ray.io/en/latest/ray-core/scheduling/ray-oom-prevention.html. Consider provisioning more memory on this node or reducing task parallelism by requesting more CPUs per task. Set max_restarts and max_task_retries to enable retry when the task crashes due to OOM. To adjust the kill threshold, set the environment variable `RAY_memory_usage_threshold` when starting Ray. To disable worker killing, set the environment variable `RAY_memory_monitor_refresh_ms` to zero."
Error 29,"Task was killed due to the node running low on memory.
Memory on the node (IP: 172.28.164.114, ID: a19f26332e9b236d06e71e1094457b3fcd46c6f30576df6b24c4c511) where the task (actor ID: 197bcc166e61dfaae4fa015e01000000, name=WSICropManager.__init__, pid=1550431, memory used=2.31GB) was running was 239.80GB / 251.49GB (0.953511), which exceeds the memory usage threshold of 0.95. Ray killed this worker (ID: 8b08299f9a0db8986a54e35dcc2b906fbf84d5afdb566129469aeaab) because it was the most recently scheduled task; to see more information about memory usage on this node, use `ray logs raylet.out -ip 172.28.164.114`. To see the logs of the worker, use `ray logs worker-8b08299f9a0db8986a54e35dcc2b906fbf84d5afdb566129469aeaab*out -ip 172.28.164.114. Top 10 memory users:
PID	MEM(GB)	COMMAND
1567642	101.37	python scripts/run_all_H_slides.py
1550405	2.78	ray::WSICropManager
1550427	2.58	ray::WSICropManager.async_get_focus_region_image_batch
1550424	2.45	ray::WSICropManager.async_get_focus_region_image_batch
1550413	2.44	ray::WSICropManager.async_get_focus_region_image_batch
1550430	2.43	ray::WSICropManager.async_get_focus_region_image_batch
1550423	2.37	ray::WSICropManager.async_get_focus_region_image_batch
1550412	2.37	ray::WSICropManager.async_get_focus_region_image_batch
1550425	2.37	ray::WSICropManager.async_get_focus_region_image_batch
1550407	2.35	ray::WSICropManager.async_get_focus_region_image_batch
Refer to the documentation on how to address the out of memory issue: https://docs.ray.io/en/latest/ray-core/scheduling/ray-oom-prevention.html. Consider provisioning more memory on this node or reducing task parallelism by requesting more CPUs per task. Set max_restarts and max_task_retries to enable retry when the task crashes due to OOM. To adjust the kill threshold, set the environment variable `RAY_memory_usage_threshold` when starting Ray. To disable worker killing, set the environment variable `RAY_memory_monitor_refresh_ms` to zero."
Error 30,"Task was killed due to the node running low on memory.
Memory on the node (IP: 172.28.164.114, ID: e849e9769e4dbdad3f329773a08ec399fc0fd0a96194164e19ddf5e0) where the task (actor ID: 21b98e83e581d8f3e6e57b8301000000, name=WSICropManager.__init__, pid=3557956, memory used=2.93GB) was running was 239.37GB / 251.49GB (0.951811), which exceeds the memory usage threshold of 0.95. Ray killed this worker (ID: 0f5e5ed6700a2d821512e5ec71eebf2277f1335399df0aebd238d699) because it was the most recently scheduled task; to see more information about memory usage on this node, use `ray logs raylet.out -ip 172.28.164.114`. To see the logs of the worker, use `ray logs worker-0f5e5ed6700a2d821512e5ec71eebf2277f1335399df0aebd238d699*out -ip 172.28.164.114. Top 10 memory users:
PID	MEM(GB)	COMMAND
1567642	101.80	python scripts/run_all_H_slides.py
932750	4.21	/home/greg/.vscode-server/cli/servers/Stable-e170252f762678dec6ca2cc69aba1570769a5d39/server/node /h...
3557932	2.94	ray::WSICropManager
3557939	2.94	ray::WSICropManager
3557956	2.93	ray::WSICropManager.async_get_focus_region_image_batch
3557945	2.89	ray::WSICropManager
3557929	2.88	ray::WSICropManager
3557955	2.87	ray::WSICropManager.async_get_focus_region_image_batch
3557936	2.86	ray::WSICropManager
3557952	2.84	ray::WSICropManager.async_get_focus_region_image_batch
Refer to the documentation on how to address the out of memory issue: https://docs.ray.io/en/latest/ray-core/scheduling/ray-oom-prevention.html. Consider provisioning more memory on this node or reducing task parallelism by requesting more CPUs per task. Set max_restarts and max_task_retries to enable retry when the task crashes due to OOM. To adjust the kill threshold, set the environment variable `RAY_memory_usage_threshold` when starting Ray. To disable worker killing, set the environment variable `RAY_memory_monitor_refresh_ms` to zero."
Error 31,"Task was killed due to the node running low on memory.
Memory on the node (IP: 172.28.164.114, ID: 5b6b7bfc6b4e8ee4b2c7500e168c72cb66221eb641ae6dc44e67c54b) where the task (actor ID: 425279b09b827247c41405b101000000, name=WSICropManager.__init__, pid=2248107, memory used=2.58GB) was running was 239.05GB / 251.49GB (0.950523), which exceeds the memory usage threshold of 0.95. Ray killed this worker (ID: 23bcd4b5c6701a6d1eaec3afbe87a9a2dc235995989c7f1195f8cef2) because it was the most recently scheduled task; to see more information about memory usage on this node, use `ray logs raylet.out -ip 172.28.164.114`. To see the logs of the worker, use `ray logs worker-23bcd4b5c6701a6d1eaec3afbe87a9a2dc235995989c7f1195f8cef2*out -ip 172.28.164.114. Top 10 memory users:
PID	MEM(GB)	COMMAND
1567642	86.38	python scripts/run_all_H_slides.py
2248104	2.89	ray::WSICropManager.async_get_focus_region_image_batch
2248094	2.71	ray::WSICropManager.async_get_focus_region_image_batch
2248084	2.70	ray::WSICropManager.async_get_focus_region_image_batch
2248078	2.68	ray::WSICropManager.async_get_focus_region_image_batch
2248093	2.68	ray::WSICropManager.async_get_focus_region_image_batch
2248080	2.63	ray::WSICropManager.async_get_focus_region_image_batch
2248106	2.60	ray::WSICropManager.async_get_focus_region_image_batch
2248097	2.60	ray::WSICropManager.async_get_focus_region_image_batch
2248107	2.58	ray::WSICropManager.async_get_focus_region_image_batch
Refer to the documentation on how to address the out of memory issue: https://docs.ray.io/en/latest/ray-core/scheduling/ray-oom-prevention.html. Consider provisioning more memory on this node or reducing task parallelism by requesting more CPUs per task. Set max_restarts and max_task_retries to enable retry when the task crashes due to OOM. To adjust the kill threshold, set the environment variable `RAY_memory_usage_threshold` when starting Ray. To disable worker killing, set the environment variable `RAY_memory_monitor_refresh_ms` to zero."
